Time Scale; Number of Packets; Total data (b); 
1.000000; 1800; 1353218; 
2.000000; 3000; 2265506; 
3.000000; 3000; 2250096; 
4.000000; 3000; 2249850; 
5.000000; 3000; 2244820; 
6.000000; 3000; 2241043; 
7.000000; 3000; 2236899; 
8.000000; 3000; 2260802; 
9.000000; 3000; 2248180; 
10.000000; 1920; 1433159; 
11.000000; 1800; 1350208; 
12.000000; 3000; 2243738; 
13.000000; 3000; 2252012; 
14.000000; 3000; 2247559; 
15.000000; 3000; 2251021; 
16.000000; 3000; 2260738; 
17.000000; 3000; 2251477; 
18.000000; 3000; 2257016; 
19.000000; 3000; 2245929; 
20.000000; 2040; 1531090; 
21.000000; 1800; 1354706; 
22.000000; 3000; 2243246; 
23.000000; 3000; 2245939; 
24.000000; 3000; 2254076; 
25.000000; 3000; 2267906; 
26.000000; 3000; 2237284; 
27.000000; 3000; 2259220; 
28.000000; 3000; 2240185; 
29.000000; 2639; 1974280; 
30.000000; 2040; 1530101; 
31.000000; 1800; 1350373; 
32.000000; 3000; 2239138; 
33.000000; 3000; 2245436; 
34.000000; 3000; 2239323; 
35.000000; 3000; 2252402; 
36.000000; 3000; 2242367; 
37.000000; 3000; 2252482; 
38.000000; 3000; 2245225; 
39.000000; 2760; 2063113; 
40.000000; 1920; 1454600; 
41.000000; 1800; 1361673; 
42.000000; 3000; 2245019; 
43.000000; 3000; 2243689; 
44.000000; 3000; 2245222; 
45.000000; 3000; 2239807; 
46.000000; 3000; 2251114; 
47.000000; 3000; 2247461; 
48.000000; 3000; 2261479; 
49.000000; 3000; 2256647; 
50.000000; 2159; 1628094; 
51.000000; 1800; 1353283; 
52.000000; 3000; 2236536; 
53.000000; 3000; 2232986; 
54.000000; 3000; 2261511; 
55.000000; 3000; 2249884; 
56.000000; 3000; 2251952; 
57.000000; 3000; 2244989; 
58.000000; 3000; 2259524; 
59.000000; 3000; 2244179; 
60.000000; 1800; 1360883; 
61.000000; 1800; 1358326; 
62.000000; 3000; 2246822; 
63.000000; 3000; 2247368; 
64.000000; 3000; 2246715; 
65.000000; 3000; 2245789; 
66.000000; 3000; 2242912; 
67.000000; 3000; 2256696; 
68.000000; 3000; 2253535; 
69.000000; 2880; 2150431; 
70.000000; 1800; 1348276; 
71.000000; 1800; 1354880; 
72.000000; 3000; 2239123; 
73.000000; 3000; 2249147; 
74.000000; 3000; 2247901; 
75.000000; 3000; 2247170; 
76.000000; 3000; 2253674; 
77.000000; 3000; 2250390; 
78.000000; 3000; 2243898; 
79.000000; 3000; 2230880; 
80.000000; 2159; 1618001; 
81.000000; 1800; 1339194; 
82.000000; 3000; 2238192; 
83.000000; 3000; 2244762; 
84.000000; 3000; 2253928; 
85.000000; 3000; 2250836; 
86.000000; 3000; 2259796; 
87.000000; 3000; 2252723; 
88.000000; 3000; 2257892; 
89.000000; 2639; 1981680; 
90.000000; 1800; 1342662; 
91.000000; 1800; 1345719; 
92.000000; 3000; 2259506; 
93.000000; 3000; 2255291; 
94.000000; 3000; 2244334; 
95.000000; 3000; 2240726; 
96.000000; 3000; 2257990; 
97.000000; 3000; 2248904; 
98.000000; 3000; 2243082; 
99.000000; 2519; 1894641; 
100.000000; 1800; 1353664; 
101.000000; 1800; 1345373; 
102.000000; 2280; 1704738; 
103.000000; 3000; 2249503; 
104.000000; 3000; 2255928; 
105.000000; 3000; 2251326; 
106.000000; 3000; 2251729; 
107.000000; 3000; 2243440; 
108.000000; 3000; 2262671; 
109.000000; 1920; 1437295; 
110.000000; 1800; 1349645; 
111.000000; 1800; 1348777; 
112.000000; 2760; 2070328; 
113.000000; 3000; 2254488; 
114.000000; 3000; 2259827; 
115.000000; 3000; 2241355; 
116.000000; 3000; 2247093; 
117.000000; 3000; 2251888; 
118.000000; 3000; 2247309; 
119.000000; 2519; 1895513; 
120.000000; 1800; 1354900; 
121.000000; 1800; 1345872; 
122.000000; 3000; 2250489; 
123.000000; 3000; 2233622; 
124.000000; 3000; 2239564; 
125.000000; 3000; 2247508; 
126.000000; 3000; 2248002; 
127.000000; 3000; 2245246; 
128.000000; 3000; 2243583; 
129.000000; 2880; 2154224; 
130.000000; 2159; 1623116; 
131.000000; 1800; 1342836; 
132.000000; 3000; 2237202; 
133.000000; 3000; 2246039; 
134.000000; 3000; 2249335; 
135.000000; 3000; 2251957; 
136.000000; 3000; 2250824; 
137.000000; 3000; 2240176; 
138.000000; 3000; 2232409; 
139.000000; 3000; 2257655; 
140.000000; 2159; 1615341; 
141.000000; 1800; 1347790; 
142.000000; 3000; 2237593; 
143.000000; 3000; 2247003; 
144.000000; 3000; 2244658; 
145.000000; 3000; 2258188; 
146.000000; 3000; 2244694; 
147.000000; 3000; 2264402; 
148.000000; 3000; 2261689; 
149.000000; 2760; 2085207; 
150.000000; 1920; 1446806; 
151.000000; 1800; 1353986; 
152.000000; 3000; 2257179; 
153.000000; 3000; 2248202; 
154.000000; 3000; 2240051; 
155.000000; 3000; 2250035; 
156.000000; 3000; 2242471; 
157.000000; 3000; 2244005; 
158.000000; 3000; 2240350; 
159.000000; 2880; 2143882; 
160.000000; 1920; 1440187; 
161.000000; 1800; 1351658; 
162.000000; 3000; 2240169; 
163.000000; 3000; 2275221; 
164.000000; 3000; 2241568; 
165.000000; 3000; 2266756; 
166.000000; 3000; 2259577; 
167.000000; 3000; 2226895; 
168.000000; 3000; 2261781; 
169.000000; 2639; 1962332; 
170.000000; 1800; 1342941; 
171.000000; 1800; 1351219; 
172.000000; 3000; 2246552; 
173.000000; 3000; 2252619; 
174.000000; 3000; 2241416; 
175.000000; 3000; 2244831; 
176.000000; 3000; 2229863; 
177.000000; 3000; 2254857; 
178.000000; 3000; 2253652; 
179.000000; 2519; 1875384; 
180.000000; 1920; 1439686; 
181.000000; 1800; 1343170; 
182.000000; 3000; 2254391; 
183.000000; 3000; 2241098; 
184.000000; 3000; 2255789; 
185.000000; 3000; 2248899; 
186.000000; 3000; 2240781; 
187.000000; 3000; 2249891; 
188.000000; 3000; 2244414; 
