Packet Count; Number of Packets;
0 - 500; 0
500 - 1000; 0
1000 - 1500; 0
1500 - 2000; 464
2000 - 2500; 158
2500 - 3000; 2378








Packet Size; Number of Packets;
0 - 200; 1056
200 - 400; 81352
400 - 600; 1244478
600 - 800; 3906778
800 - 1000; 2640149
1000 - 1200; 379372
1200 - 1400; 10798
