Time Scale; Number of Packets; Total data; 
199; 95791; 4790165.000000; 
200; 96060; 4803300.000000; 
201; 95783; 4789615.000000; 
202; 96072; 4804165.000000; 
203; 95796; 4790265.000000; 
204; 96034; 4802350.000000; 
205; 95798; 4790515.000000; 
206; 96029; 4801765.000000; 
207; 95818; 4791365.000000; 
208; 96097; 4805450.000000; 
209; 95794; 4790265.000000; 
210; 95912; 4796215.000000; 
211; 95951; 4797765.000000; 
212; 95805; 4790500.000000; 
213; 96072; 4804565.000000; 
214; 95786; 4789915.000000; 
215; 96045; 4802915.000000; 
216; 95800; 4790365.000000; 
217; 96054; 4803500.000000; 
218; 95804; 4790715.000000; 
219; 96051; 4802965.000000; 
220; 95802; 4790565.000000; 
221; 96066; 4803800.000000; 
222; 95783; 4789915.000000; 
223; 96051; 4803015.000000; 
224; 95803; 4790915.000000; 
225; 95907; 4795900.000000; 
226; 96214; 4811065.000000; 
227; 96115; 4806165.000000; 
228; 96073; 4804315.000000; 
229; 95798; 4790715.000000; 
230; 96042; 4802350.000000; 
231; 95762; 4788715.000000; 
232; 96065; 4803965.000000; 
233; 95987; 4800115.000000; 
234; 96319; 4816515.000000; 
235; 95805; 4790300.000000; 
236; 96050; 4803165.000000; 
237; 95792; 4790165.000000; 
238; 96050; 4803365.000000; 
239; 95789; 4789900.000000; 
240; 95950; 4797865.000000; 
241; 95905; 4795715.000000; 
242; 95805; 4790515.000000; 
243; 96099; 4805350.000000; 
244; 95798; 4790465.000000; 
245; 96039; 4802465.000000; 
246; 95790; 4790115.000000; 
247; 191853; 4803215.000000; 
248; 95800; 4790750.000000; 
249; 96055; 4803265.000000; 
250; 95806; 4791215.000000; 
251; 96048; 4802615.000000; 
252; 95803; 4791150.000000; 
253; 96036; 4802565.000000; 
254; 95794; 4789865.000000; 
255; 95948; 4798615.000000; 
256; 95901; 4795000.000000; 
257; 95802; 4790865.000000; 
258; 96038; 4802315.000000; 
259; 95799; 4790515.000000; 
260; 96060; 4803300.000000; 
261; 95805; 4790165.000000; 
262; 96038; 4802965.000000; 
263; 95798; 4790315.000000; 
264; 96046; 4803050.000000; 
265; 95797; 4790515.000000; 
266; 96062; 4803565.000000; 
267; 95778; 4789415.000000; 
268; 96173; 4809315.000000; 
269; 95799; 4790400.000000; 
270; 95965; 4798865.000000; 
271; 95879; 4794115.000000; 
272; 95801; 4790450.000000; 
273; 96061; 4803915.000000; 
274; 95793; 4790415.000000; 
275; 96223; 4812015.000000; 
276; 95799; 4790365.000000; 
277; 96059; 4803550.000000; 
278; 95783; 4789915.000000; 
279; 96057; 4803165.000000; 
280; 95798; 4790165.000000; 
281; 96040; 4802900.000000; 
282; 95797; 4790465.000000; 
283; 96045; 4802715.000000; 
284; 95800; 4790715.000000; 
285; 95985; 4800015.000000; 
286; 95859; 4793150.000000; 
287; 95783; 4789915.000000; 
288; 96078; 4804215.000000; 
289; 95801; 4790815.000000; 
290; 96042; 4802800.000000; 
291; 95808; 4790665.000000; 
292; 96053; 4803015.000000; 
293; 95794; 4790465.000000; 
294; 96046; 4802700.000000; 
295; 95800; 4790565.000000; 
296; 96047; 4802815.000000; 
297; 95813; 4791215.000000; 
298; 96047; 4803100.000000; 
299; 95786; 4789715.000000; 
300; 95988; 4800565.000000; 
301; 95843; 4792315.000000; 
302; 95813; 4791200.000000; 
303; 96215; 4811415.000000; 
304; 96209; 4810915.000000; 
305; 96105; 4805765.000000; 
306; 95792; 4790065.000000; 
307; 96038; 4802415.000000; 
308; 95798; 4790350.000000; 
309; 96051; 4803165.000000; 
310; 95783; 4789765.000000; 
311; 96037; 4802365.000000; 
312; 95795; 4790500.000000; 
313; 95185; 4759765.000000; 
314; 95789; 4789865.000000; 
315; 96030; 4802515.000000; 
316; 95804; 4790650.000000; 
317; 95850; 4792965.000000; 
318; 96001; 4800365.000000; 
319; 95795; 4790365.000000; 
320; 96063; 4803900.000000; 
321; 95803; 4790415.000000; 
322; 96061; 4803565.000000; 
323; 95795; 4790315.000000; 
324; 96044; 4803050.000000; 
325; 95796; 4790265.000000; 
326; 96059; 4803665.000000; 
327; 95802; 4790665.000000; 
328; 96130; 4807050.000000; 
329; 95792; 4790115.000000; 
330; 96045; 4802665.000000; 
331; 95802; 4790415.000000; 
332; 95859; 4794150.000000; 
333; 95908; 4795465.000000; 
334; 95797; 4790365.000000; 
335; 96043; 4802815.000000; 
336; 95797; 4790415.000000; 
337; 96056; 4803400.000000; 
338; 95794; 4789915.000000; 
339; 96068; 4803965.000000; 
340; 95798; 4790615.000000; 
341; 96050; 4803200.000000; 
342; 95795; 4790015.000000; 
343; 96060; 4803065.000000; 
344; 95782; 4790515.000000; 
345; 96039; 4802350.000000; 
346; 95808; 4790615.000000; 
347; 95837; 4792515.000000; 
348; 96023; 4801365.000000; 
349; 95790; 4789800.000000; 
350; 96054; 4803515.000000; 
351; 95797; 4790365.000000; 
352; 96043; 4802665.000000; 
353; 95795; 4790150.000000; 
354; 96055; 4803215.000000; 
355; 95806; 4791165.000000; 
356; 96057; 4803265.000000; 
357; 95787; 4789915.000000; 
358; 96041; 4802500.000000; 
359; 95806; 4790815.000000; 
360; 96029; 4802115.000000; 
361; 95811; 4790965.000000; 
362; 95840; 4792800.000000; 
363; 95912; 4795715.000000; 
364; 95803; 4790915.000000; 
365; 96066; 4803815.000000; 
366; 95807; 4790600.000000; 
367; 96040; 4802815.000000; 
368; 95794; 4789865.000000; 
369; 96059; 4803515.000000; 
370; 95798; 4790500.000000; 
371; 96060; 4803415.000000; 
372; 95788; 4790015.000000; 
373; 96055; 4803415.000000; 
