Test Traffic (packets),Predicted Trafic (packets)
10,-73.4061504157591
906,412.27308431550364
1505,999.0631660558709
1803,1587.9538143633772
2402,1863.7879795377146
1803,1777.7262153729407
1803,1508.2618324207945
1206,930.8594263230498
608,278.7094209641393
10,-158.01767773643513
10,-164.4420008109132
309,226.28550825595875
906,802.227880175268
1803,1366.7504732804746
1803,1703.1137855889071
1803,1724.0937253836196
906,1431.6482226501964
309,933.1497485130086
10,409.95128547893137
10,70.07545096992118
10,58.65969153552268
608,371.16508672050344
608,875.3534375726908
1505,1373.7446281727962
1505,1685.2838207798427
1505,1704.79247855276
906,1433.835451692952
608,978.8633973731598
309,511.7039206862057
10,209.66473192930465
10,185.30658462133337
309,441.2811468544478
309,871.4008625987294
1505,1307.0092782718132
1505,1584.306996333564
1505,1604.049476099838
608,1365.281474767191
309,962.7402402633627
309,550.3097564094553
10,282.8624886954191
10,257.65692492184326
10,478.08925045274043
608,854.3512046418772
1505,1240.3324483487008
1803,1490.6354205572054
1803,1515.0273547436125
1505,1310.3193452740275
309,959.1223077396066
10,596.9400438498686
10,360.2393881556071
10,335.1058884531682
608,525.866367716388
1206,855.3868747919995
1505,1196.270960146293
1505,1420.2112203567601
1505,1446.2330338735615
1505,1269.767390049995
608,962.3356767624347
608,642.7963834168252
10,431.5744561622467
