Test Packet Size (KB),Predicted Packet Size (KB)
46.257518,46.044890355678135
46.244709,45.97206795101137
46.192216,46.17998385410823
46.018788,46.41189809251128
46.11558,46.44798271432517
46.223024,46.26133166418601
46.133181,46.02882025529547
45.753185,45.97003752729395
46.175739,46.13537309932724
46.305194,46.35779587479842
46.070756,46.41771001074773
46.159645,46.25583072743878
46.053103,46.02755003588206
46.193333,45.94964360687859
47.41147,46.09044396093767
47.514606,46.30644639105838
46.876287,46.38404072841939
46.305647,46.24647100112316
45.931167,46.02554562493475
45.901605,45.93122212279887
46.073962,46.04803570591403
46.195156,46.255708715094265
46.207891,46.348394946216295
46.232941,46.23441159686211
46.186554,46.02270130050637
45.993448,45.91457768770251
46.1853,46.00824895611855
46.332087,46.2058874303523
46.179968,46.311099731357956
46.150514,46.219764267803484
46.117792,46.018836803572505
46.234,45.89943647939451
46.285533,45.97099813360339
45.971963,46.15717388652098
46.094929,46.27243980882075
46.09525,46.20263494890827
46.150936,46.01378254384832
46.167006,45.88552275024613
46.891526,45.936169671302586
47.54585,46.10972405251261
47.49084,46.232686365595896
45.600116,46.18314710838389
46.317002,46.0073978847123
46.190849,45.87257168637627
46.309162,45.903631817637255
46.172633,46.063664034684784
46.231703,46.192097660168294
46.257053,46.16144017812463
45.995934,45.99957105043161
46.093676,45.86033212430468
46.189919,45.87323830214815
46.10387,46.019091666176934
46.099045,46.15091736703751
46.104427,46.13766650774823
46.238703,45.99021777859176
46.157715,45.84856825581129
46.055467,45.84483145286509
46.31387,45.976078043495505
46.321691,46.10937309918007
46.196472,46.11198835938109
