Time Scale; Number of Packets; Total data (b); 
199.000000; 2150; 1608892; 
200.000000; 2651; 1974807; 
201.000000; 2591; 1931923; 
202.000000; 2354; 1772765; 
203.000000; 2656; 1992183; 
204.000000; 2854; 2132123; 
205.000000; 2644; 1976639; 
206.000000; 2889; 2172721; 
207.000000; 2157; 1608554; 
208.000000; 2119; 1588643; 
209.000000; 1831; 1376952; 
210.000000; 2748; 2063952; 
211.000000; 2405; 1793557; 
212.000000; 2268; 1700286; 
213.000000; 2703; 2027780; 
214.000000; 2909; 2182375; 
215.000000; 2887; 2148905; 
216.000000; 1884; 1414147; 
217.000000; 2379; 1785685; 
218.000000; 2141; 1602279; 
219.000000; 2267; 1691796; 
220.000000; 2695; 2023171; 
221.000000; 2038; 1535364; 
222.000000; 2363; 1776417; 
223.000000; 2975; 2244826; 
224.000000; 1960; 1464342; 
225.000000; 2682; 1996331; 
226.000000; 2791; 2084168; 
227.000000; 1991; 1500490; 
228.000000; 2535; 1895138; 
229.000000; 1892; 1419826; 
230.000000; 1988; 1489229; 
231.000000; 2890; 2174221; 
232.000000; 2647; 1976640; 
233.000000; 2072; 1549122; 
234.000000; 2304; 1730451; 
235.000000; 2295; 1712348; 
236.000000; 1825; 1374594; 
237.000000; 2296; 1715751; 
238.000000; 2874; 2158252; 
239.000000; 2637; 1964465; 
240.000000; 2256; 1681416; 
241.000000; 2862; 2145421; 
242.000000; 2859; 2143781; 
243.000000; 2811; 2105287; 
244.000000; 1816; 1353800; 
245.000000; 2104; 1583203; 
246.000000; 2274; 1709791; 
247.000000; 1986; 1486200; 
248.000000; 2309; 1726948; 
249.000000; 1951; 1457238; 
250.000000; 2287; 1708621; 
251.000000; 2180; 1634923; 
252.000000; 2105; 1568148; 
253.000000; 2871; 2150740; 
254.000000; 2085; 1563418; 
255.000000; 1955; 1473951; 
256.000000; 2423; 1807894; 
257.000000; 1991; 1490393; 
258.000000; 2236; 1678893; 
259.000000; 1864; 1395633; 
260.000000; 2876; 2145603; 
261.000000; 2636; 1968472; 
262.000000; 2400; 1795914; 
263.000000; 2296; 1709960; 
264.000000; 2595; 1945728; 
265.000000; 2874; 2157425; 
266.000000; 2483; 1870096; 
267.000000; 2638; 1965303; 
268.000000; 2488; 1859390; 
269.000000; 2261; 1689929; 
270.000000; 2793; 2088970; 
271.000000; 2829; 2117830; 
272.000000; 2402; 1802442; 
273.000000; 2874; 2160583; 
274.000000; 1983; 1486973; 
275.000000; 2687; 2014744; 
276.000000; 2607; 1968961; 
277.000000; 2073; 1562037; 
278.000000; 2138; 1619927; 
279.000000; 2426; 1805966; 
280.000000; 2491; 1862792; 
281.000000; 2546; 1917678; 
282.000000; 2248; 1682908; 
283.000000; 2458; 1848067; 
284.000000; 2597; 1943553; 
285.000000; 2113; 1586575; 
286.000000; 2432; 1808939; 
287.000000; 2004; 1507886; 
288.000000; 2802; 2094693; 
289.000000; 2894; 2163298; 
290.000000; 2379; 1784177; 
291.000000; 2820; 2121125; 
292.000000; 2349; 1761426; 
293.000000; 2634; 1978151; 
294.000000; 2007; 1501206; 
295.000000; 1800; 1350403; 
296.000000; 2634; 1974451; 
297.000000; 2482; 1852809; 
298.000000; 1912; 1428594; 
299.000000; 2930; 2205099; 
300.000000; 2405; 1801747; 
301.000000; 2642; 1976868; 
302.000000; 2537; 1911034; 
303.000000; 2486; 1852443; 
304.000000; 2787; 2088374; 
305.000000; 2616; 1946960; 
306.000000; 2506; 1890993; 
307.000000; 2437; 1816995; 
308.000000; 1837; 1364184; 
309.000000; 2571; 1910377; 
310.000000; 1896; 1420310; 
311.000000; 1986; 1496366; 
312.000000; 2619; 1971710; 
313.000000; 2672; 1997656; 
314.000000; 2753; 2064655; 
315.000000; 2301; 1730789; 
316.000000; 2006; 1514813; 
317.000000; 2378; 1788745; 
318.000000; 2760; 2082874; 
319.000000; 1853; 1378933; 
320.000000; 2396; 1787161; 
321.000000; 2120; 1577695; 
322.000000; 2539; 1910330; 
323.000000; 2936; 2197364; 
324.000000; 2416; 1806882; 
325.000000; 2041; 1524661; 
326.000000; 2453; 1845412; 
327.000000; 2874; 2174267; 
328.000000; 2032; 1523437; 
329.000000; 2121; 1599533; 
330.000000; 2970; 2210935; 
331.000000; 2564; 1918386; 
332.000000; 2430; 1821537; 
333.000000; 2062; 1544488; 
334.000000; 2063; 1547521; 
335.000000; 1871; 1405080; 
336.000000; 2564; 1922343; 
337.000000; 2077; 1565729; 
338.000000; 2724; 2048781; 
339.000000; 2132; 1605063; 
340.000000; 2397; 1803947; 
341.000000; 1857; 1384926; 
342.000000; 2932; 2191663; 
343.000000; 2054; 1535701; 
344.000000; 1942; 1448494; 
345.000000; 2205; 1658640; 
346.000000; 2969; 2222133; 
347.000000; 2070; 1536359; 
348.000000; 2814; 2108983; 
349.000000; 2263; 1687441; 
350.000000; 2104; 1575263; 
351.000000; 2549; 1915570; 
352.000000; 1989; 1500675; 
353.000000; 2384; 1787255; 
354.000000; 2530; 1889187; 
355.000000; 2717; 2038004; 
356.000000; 2774; 2085228; 
357.000000; 2329; 1740694; 
358.000000; 2333; 1749704; 
359.000000; 1858; 1396729; 
360.000000; 1867; 1397240; 
361.000000; 2702; 2012200; 
362.000000; 2997; 2247576; 
363.000000; 2262; 1698558; 
364.000000; 1925; 1441338; 
365.000000; 1922; 1436168; 
366.000000; 2241; 1676749; 
367.000000; 1865; 1412265; 
368.000000; 2960; 2230259; 
369.000000; 2475; 1860214; 
370.000000; 2497; 1874820; 
371.000000; 2691; 2012087; 
372.000000; 2965; 2217746; 
373.000000; 1938; 1457497; 
374.000000; 1892; 1414980; 
375.000000; 2680; 1989358; 
376.000000; 2038; 1522466; 
377.000000; 2613; 1962900; 
378.000000; 2472; 1847461; 
379.000000; 1930; 1446934; 
380.000000; 2598; 1954739; 
381.000000; 2052; 1533965; 
382.000000; 2663; 1993989; 
383.000000; 2959; 2220948; 
384.000000; 1862; 1397874; 
385.000000; 2555; 1915534; 
386.000000; 1920; 1454377; 
387.000000; 2641; 1982816; 
388.000000; 2301; 1720541; 
389.000000; 2231; 1660336; 
390.000000; 1958; 1468819; 
391.000000; 2161; 1619860; 
392.000000; 2196; 1641173; 
393.000000; 2460; 1840109; 
394.000000; 1942; 1457371; 
395.000000; 2128; 1589924; 
396.000000; 2344; 1761546; 
397.000000; 2259; 1687943; 
398.000000; 2962; 2232490; 
399.000000; 2511; 1888213; 
400.000000; 2783; 2080845; 
401.000000; 1957; 1465162; 
402.000000; 1876; 1390274; 
403.000000; 1895; 1426992; 
404.000000; 1938; 1448228; 
405.000000; 2650; 1979208; 
406.000000; 2906; 2166186; 
407.000000; 2770; 2082727; 
408.000000; 2048; 1528670; 
409.000000; 2387; 1788479; 
410.000000; 2480; 1858500; 
411.000000; 2142; 1608846; 
412.000000; 2638; 1974492; 
413.000000; 1989; 1493074; 
414.000000; 2650; 1976529; 
415.000000; 2906; 2176451; 
416.000000; 2978; 2235490; 
417.000000; 2540; 1895309; 
418.000000; 2744; 2062733; 
419.000000; 2101; 1574886; 
420.000000; 2901; 2186757; 
421.000000; 1933; 1447951; 
422.000000; 2926; 2194546; 
423.000000; 2257; 1701065; 
424.000000; 2225; 1683833; 
425.000000; 2056; 1540037; 
426.000000; 2004; 1498809; 
427.000000; 2131; 1590514; 
428.000000; 2277; 1701501; 
429.000000; 1902; 1424145; 
430.000000; 2832; 2119887; 
431.000000; 2690; 2028984; 
432.000000; 2163; 1615830; 
433.000000; 2863; 2141620; 
434.000000; 1852; 1396906; 
435.000000; 2188; 1651504; 
436.000000; 1810; 1358503; 
437.000000; 2642; 1991167; 
438.000000; 2777; 2075664; 
439.000000; 2981; 2238042; 
440.000000; 1862; 1404614; 
441.000000; 2818; 2101135; 
442.000000; 2340; 1751176; 
443.000000; 2285; 1708459; 
444.000000; 2200; 1641638; 
445.000000; 2563; 1918955; 
446.000000; 2879; 2155100; 
447.000000; 1899; 1424197; 
448.000000; 2262; 1710870; 
449.000000; 2931; 2199898; 
450.000000; 2288; 1720564; 
451.000000; 2646; 1994697; 
452.000000; 2298; 1720276; 
453.000000; 2936; 2199037; 
454.000000; 1959; 1461969; 
455.000000; 2772; 2072322; 
456.000000; 2707; 2033925; 
457.000000; 2415; 1815416; 
458.000000; 1928; 1440452; 
459.000000; 2818; 2112163; 
460.000000; 2892; 2152118; 
461.000000; 2274; 1710619; 
462.000000; 2060; 1543868; 
463.000000; 2857; 2156351; 
464.000000; 2007; 1499366; 
465.000000; 1888; 1408394; 
466.000000; 2107; 1586945; 
467.000000; 1922; 1444223; 
468.000000; 2595; 1939136; 
469.000000; 1818; 1367580; 
470.000000; 2766; 2069444; 
471.000000; 2366; 1771731; 
472.000000; 2887; 2154305; 
473.000000; 2306; 1719528; 
474.000000; 2203; 1652062; 
475.000000; 2253; 1683313; 
476.000000; 2434; 1822220; 
477.000000; 1969; 1476240; 
478.000000; 2506; 1879258; 
479.000000; 1897; 1418664; 
480.000000; 2200; 1642786; 
481.000000; 1846; 1383514; 
482.000000; 2092; 1575635; 
483.000000; 2114; 1565805; 
484.000000; 2437; 1817982; 
485.000000; 2562; 1908529; 
486.000000; 2894; 2168476; 
487.000000; 2922; 2190587; 
488.000000; 2597; 1951453; 
489.000000; 2610; 1954773; 
490.000000; 2805; 2102407; 
491.000000; 1990; 1491384; 
492.000000; 2758; 2056895; 
493.000000; 2182; 1625374; 
494.000000; 2981; 2238883; 
495.000000; 2590; 1942081; 
496.000000; 2698; 2040006; 
497.000000; 2657; 1992690; 
498.000000; 1891; 1417141; 
499.000000; 1967; 1475209; 
500.000000; 2184; 1636730; 
501.000000; 2281; 1707846; 
502.000000; 2220; 1671489; 
503.000000; 2828; 2119543; 
504.000000; 2047; 1529435; 
505.000000; 2983; 2238867; 
506.000000; 2777; 2094224; 
507.000000; 2057; 1530807; 
508.000000; 2867; 2154325; 
509.000000; 2009; 1505604; 
510.000000; 2461; 1845738; 
511.000000; 2136; 1600980; 
512.000000; 2574; 1930724; 
513.000000; 2131; 1594071; 
514.000000; 2129; 1589387; 
515.000000; 2989; 2243231; 
516.000000; 1900; 1421923; 
517.000000; 2009; 1510199; 
518.000000; 1994; 1489812; 
519.000000; 2971; 2251129; 
520.000000; 2698; 2036253; 
521.000000; 2302; 1727010; 
522.000000; 2469; 1868621; 
523.000000; 2400; 1815909; 
524.000000; 2512; 1868292; 
525.000000; 2053; 1541736; 
526.000000; 2045; 1534494; 
527.000000; 1922; 1444487; 
528.000000; 2870; 2150916; 
