Packet Count; Number of Packets;
0 - 500; 0
500 - 1000; 0
1000 - 1500; 0
1500 - 2000; 478
2000 - 2500; 1272
2500 - 3000; 1250








Packet Size; Number of Packets;
0 - 200; 918
200 - 400; 70880
400 - 600; 1084682
600 - 800; 3406133
800 - 1000; 2301843
1000 - 1200; 330651
1200 - 1400; 9376
