Time Scale; Number of Packets; Total data; 
1; 954864; 47887099.000000; 
2; 1726300; 86599507.000000; 
3; 1748529; 87713655.000000; 
4; 1729353; 86753981.000000; 
5; 1751945; 87885047.000000; 
6; 1730776; 86823905.000000; 
7; 1753734; 87976131.000000; 
8; 1734462; 87007226.000000; 
9; 1749405; 87758022.000000; 
10; 1752521; 87913212.000000; 
11; 1728694; 86718601.000000; 
12; 1754207; 87999091.000000; 
13; 1730004; 86784353.000000; 
14; 1754337; 88005075.000000; 
15; 1731717; 86871526.000000; 
16; 1753853; 87980822.000000; 
17; 1745599; 87567158.000000; 
18; 3484911; 87250257.000000; 
19; 1752400; 87907862.000000; 
20; 1728899; 86729255.000000; 
21; 1753603; 87968337.000000; 
22; 1730670; 86818461.000000; 
23; 1752315; 87904765.000000; 
24; 1730825; 86826644.000000; 
25; 1751356; 87856703.000000; 
26; 1754189; 87998943.000000; 
27; 1730291; 86797708.000000; 
28; 1753087; 87942882.000000; 
29; 1728742; 86721758.000000; 
30; 1753906; 87984952.000000; 
31; 1731665; 86871945.000000; 
32; 1752161; 87896043.000000; 
33; 1740884; 87330146.000000; 
34; 1743555; 87464691.000000; 
35; 1753527; 87964359.000000; 
36; 1729689; 86769839.000000; 
37; 1753326; 87954298.000000; 
38; 1728771; 86722886.000000; 
39; 1753196; 87951298.000000; 
40; 1730832; 86828448.000000; 
41; 1753572; 87966623.000000; 
42; 1751064; 87843032.000000; 
43; 1734169; 86993405.000000; 
44; 1754243; 87999987.000000; 
45; 1731002; 86835131.000000; 
46; 1742280; 87404296.000000; 
47; 1729839; 86775928.000000; 
48; 1753321; 87956733.000000; 
49; 1738020; 87187257.000000; 
50; 1746871; 87631293.000000; 
51; 1753576; 87970478.000000; 
52; 1695735; 85064981.000000; 
53; 1754017; 87988629.000000; 
54; 1730020; 86798328.000000; 
55; 1754549; 88017562.000000; 
56; 1731291; 86849908.000000; 
57; 1754095; 87996545.000000; 
58; 1748180; 87695729.000000; 
59; 1736042; 87087138.000000; 
60; 1747673; 87671317.000000; 
61; 1730833; 86828786.000000; 
62; 1753537; 87964754.000000; 
63; 1732342; 86900744.000000; 
64; 1753754; 87975991.000000; 
65; 1732856; 86930275.000000; 
66; 1734672; 87020815.000000; 
67; 1753949; 87986662.000000; 
68; 1729373; 86752443.000000; 
69; 1753377; 87959243.000000; 
70; 1731742; 86871143.000000; 
71; 1753665; 87971361.000000; 
72; 1730851; 86828691.000000; 
73; 1753565; 87965213.000000; 
74; 1744417; 87509463.000000; 
75; 1739220; 87250583.000000; 
76; 1754032; 87992753.000000; 
77; 1730139; 86792230.000000; 
78; 1748156; 87693813.000000; 
79; 1727080; 86637877.000000; 
80; 1752811; 87928450.000000; 
81; 1728641; 86716304.000000; 
82; 1752412; 87908489.000000; 
83; 1751540; 87865472.000000; 
84; 1729157; 86743925.000000; 
85; 1752608; 87920811.000000; 
86; 1729430; 86756718.000000; 
87; 1752152; 87896830.000000; 
88; 1729882; 86781547.000000; 
89; 1751985; 87888718.000000; 
90; 1735529; 87061859.000000; 
91; 1740111; 87291830.000000; 
92; 1747838; 87678806.000000; 
93; 1726223; 86594238.000000; 
94; 1749711; 87772767.000000; 
95; 1728255; 86697277.000000; 
96; 1748204; 87697551.000000; 
97; 1728165; 86692608.000000; 
98; 3473963; 87575536.000000; 
99; 1744636; 87519750.000000; 
100; 1729901; 86778598.000000; 
101; 1747682; 87671815.000000; 
102; 1726425; 86604967.000000; 
103; 1748385; 87708185.000000; 
104; 1726651; 86616977.000000; 
105; 1748161; 87695592.000000; 
106; 1731249; 86847874.000000; 
107; 1742233; 87396524.000000; 
108; 1748818; 87728752.000000; 
109; 1724939; 86530566.000000; 
110; 1745695; 87571430.000000; 
111; 1724153; 86489839.000000; 
112; 1749194; 87747085.000000; 
113; 1724328; 86501912.000000; 
114; 1745803; 87578306.000000; 
115; 1739309; 87251632.000000; 
116; 1730241; 86799647.000000; 
117; 1746488; 87612071.000000; 
118; 1722680; 86432941.000000; 
119; 1746272; 87600367.000000; 
120; 1724188; 86493521.000000; 
121; 1745524; 87563776.000000; 
122; 1725737; 86573222.000000; 
123; 1743777; 87489128.000000; 
124; 1745675; 87574199.000000; 
125; 1723703; 86469730.000000; 
126; 1745770; 87575578.000000; 
127; 1722529; 86409948.000000; 
128; 1739762; 87273515.000000; 
129; 1724076; 86487737.000000; 
130; 1745629; 87567809.000000; 
131; 1734902; 87031143.000000; 
132; 1734849; 87027468.000000; 
133; 1745426; 87559822.000000; 
134; 1724875; 86527740.000000; 
135; 1745746; 87574932.000000; 
136; 1720788; 86322452.000000; 
137; 1733542; 86962216.000000; 
138; 1711806; 85875568.000000; 
139; 1734540; 87012515.000000; 
140; 1730892; 86830414.000000; 
141; 1714437; 86008101.000000; 
142; 1734137; 86991770.000000; 
143; 1712940; 85930095.000000; 
144; 1733105; 86939688.000000; 
145; 1715372; 86052413.000000; 
146; 1733171; 86944434.000000; 
147; 1719227; 86244403.000000; 
148; 1725834; 86575395.000000; 
149; 1732900; 86930078.000000; 
150; 1712038; 85883828.000000; 
151; 1733541; 86962281.000000; 
152; 1711815; 85871960.000000; 
153; 1734297; 86999465.000000; 
154; 1711845; 85874890.000000; 
155; 1734178; 86996290.000000; 
156; 1719314; 86249556.000000; 
157; 1716791; 86122736.000000; 
158; 1719096; 86238265.000000; 
159; 1704514; 85508483.000000; 
160; 1725000; 86534605.000000; 
161; 1705743; 85567209.000000; 
162; 1725139; 86544109.000000; 
163; 1710750; 85816247.000000; 
164; 1721992; 86385439.000000; 
165; 1725357; 86551835.000000; 
166; 1701611; 85360195.000000; 
